Date,GSCPI
30/11/2014,-0.964949192
31/12/2014,-0.387932919
31/1/2015,-0.501460953
28/2/2015,-0.317035604
31/3/2015,-0.378468216
30/4/2015,-0.344430878
31/5/2015,-0.542010148
30/6/2015,-0.859936119
31/7/2015,-0.406720762
31/8/2015,-0.671565115
30/9/2015,-0.388594783
31/10/2015,-0.229094499
30/11/2015,-0.628329444
31/12/2015,-0.587977085
31/1/2016,-0.787753497
29/2/2016,-0.738394895
31/3/2016,-0.640086792
30/4/2016,-0.262347521
31/5/2016,-0.700507858
30/6/2016,-0.281544738
31/7/2016,-0.156384105
31/8/2016,0.096793395
30/9/2016,-0.286401335
31/10/2016,-0.046271608
30/11/2016,-0.303040943
31/12/2016,-0.219648779
31/1/2017,0.169391104
28/2/2017,0.153579761
31/3/2017,0.077816646
30/4/2017,0.007272255
31/5/2017,-0.138296878
30/6/2017,0.093771754
31/7/2017,0.08975337
31/8/2017,0.387586547
30/9/2017,0.553130268
31/10/2017,0.785668544
30/11/2017,0.808000804
31/12/2017,0.685115826
31/1/2018,0.585834811
28/2/2018,0.059242178
31/3/2018,0.436516132
30/4/2018,0.515482369
31/5/2018,0.375204762
30/6/2018,0.432480503
31/7/2018,0.441187806
31/8/2018,0.529220936
30/9/2018,0.463825954
31/10/2018,0.530700758
30/11/2018,0.45268831
31/12/2018,0.461829648
31/1/2019,0.51673691
28/2/2019,0.149612832
31/3/2019,0.215718471
30/4/2019,0.022090855
31/5/2019,-0.610840494
30/6/2019,-0.464055291
31/7/2019,-0.44197908
31/8/2019,-0.280710359
30/9/2019,0.145191331
31/10/2019,0.10103283
30/11/2019,0.163155338
31/12/2019,0.050593737
31/1/2020,0.070126664
29/2/2020,1.282359701
31/3/2020,2.637958659
30/4/2020,3.331181447
31/5/2020,2.519033483
30/6/2020,2.239146112
31/7/2020,2.961224609
31/8/2020,1.488757595
30/9/2020,0.630564979
31/10/2020,0.115056858
30/11/2020,0.762643415
31/12/2020,1.690206887
31/1/2021,1.335972229
28/2/2021,1.95915308
31/3/2021,2.277700881
30/4/2021,2.778010786
31/5/2021,3.052226429
30/6/2021,2.781483406
31/7/2021,2.957723452
31/8/2021,3.313532393
30/9/2021,3.387179676
31/10/2021,3.933635446
30/11/2021,4.33529196
31/12/2021,4.423213838
31/1/2022,3.715989952
28/2/2022,2.809008097
31/3/2022,2.861087172
30/4/2022,3.55238066
31/5/2022,2.762932569
30/6/2022,2.437252141
31/7/2022,1.840661506
31/8/2022,1.52476801
30/9/2022,1.029089152
31/10/2022,1.144711987
30/11/2022,1.268255158
31/12/2022,1.341715576
31/1/2023,1.083856458
28/2/2023,-0.207374341
31/3/2023,-1.136784159
30/4/2023,-1.281849363
31/5/2023,-1.559450336
30/6/2023,-1.092535864
31/7/2023,-0.921025437
31/8/2023,-1.055724178
30/9/2023,-0.646401156
31/10/2023,-0.350556829
30/11/2023,0.173292035
31/12/2023,-0.156782395
31/1/2024,-0.344415752
29/2/2024,-0.183553075
31/3/2024,-0.342291268
30/4/2024,-0.940527819
31/5/2024,-0.568101044
30/6/2024,-0.339993529
31/7/2024,-0.042619061
31/8/2024,0.209381114
30/9/2024,0.105582038
31/10/2024,-0.339690783
30/11/2024,-0.272095583
31/12/2024,-0.263774022
31/1/2025,-0.192994537
28/2/2025,-0.071717317
